TEM,RAIN,POP,LU_HOU,LU_IND,LU_REC,LU_ROAD,LU_AG,LU_FO,LU_GR,LU_WA,ELE,SLO,PD,DI,SD,CO,GROUP
9.2 ,1680.0 ,73.82956027,0.344411521,0.024345146,0.111864407,1.847161313,4.648500652,81.46006874,4.474564419,2.245857532,365.4686469,19.7917967,3.966752941,0.997854706,1.615922,69.01529,1
12.5 ,1349.5 ,3797.139127,2.419395748,0.863446475,0.348974263,13.53647893,20.5767624,32.01797837,9.114472212,4.968034316,64.27767793,6.90300235,10.54844286,0.999672,2.729995,46.81997,2
12.1 ,1426.1 ,1962.339833,1.684958217,0.002506964,1.027576602,10.53203343,8.858495822,56.06239554,8.305013928,1.01810585,151.4674788,12.33519899,8.14886,0.998352667,2.178529,56.24464,3
13.0 ,1338.7 ,9190.623377,5.505974026,1.103896104,0.601298701,17.66961039,17.56181818,32.10415584,10.02441558,0.901558442,48.47351623,7.917320982,12.45434063,0.998504688,2.449944,50.12626,3
11.5 ,1550.7 ,718.5638051,1.103944316,1.166682135,0.093689095,5.807563805,8.6512529,63.17076566,6.832366589,3.120092807,189.3609703,14.31887822,6.986263636,0.999555152,2.087582,59.15733,1
12.7 ,1431.3 ,5651.711712,3.763063063,0.623423423,0.596396396,17.55465465,14.45045045,29.56546547,10.0036036,9.655255255,58.48245313,7.227137768,11.01829032,0.998829355,2.56587,48.74813,3
12.7 ,1357.0 ,8104.038462,3.299450549,1.05989011,0.650549451,18.40934066,11.2,41.27857143,9.976098901,1.460989011,103.5793432,10.21384853,8.649083871,0.998261613,2.35314,53.11108,3
12.1 ,1263.9 ,1286.695589,1.570318149,2.564497469,0.113304411,8.675921909,34.6681851,20.92064353,6.274041938,7.765582068,23.90037828,5.371816676,6.772308108,0.999807027,2.760695,50.31445,2
11.2 ,1549.0 ,1401.859856,1.200807684,0.622571491,0.14055883,6.729753329,9.489893036,62.94040602,7.731805283,2.879829731,182.9574496,13.91279054,6.946485714,0.999207714,2.118481,59.12689,1
10.4 ,1614.9 ,1050.449321,1.620585162,0.50522466,0.164472309,5.746290491,6.590491118,70.48683386,7.088505747,1.204075235,213.2967895,15.41532514,6.740324242,0.998901818,1.922122,61.63007,1
12.9 ,1332.0 ,16380.99251,10.4164794,2.411235955,0.742509363,30.6252809,14.42191011,14.45505618,9.844756554,0.535393258,33.87900005,5.189474782,15.11693939,0.997687273,2.495718,48.32851,3
12.5 ,1415.3 ,7002.223006,4.062032463,0.322724065,0.454834157,16.80169372,5.56146789,51.02928723,8.536062103,0.885109386,128.8365482,10.82298484,8.280448485,0.999032424,2.153856,57.23542,3
12.5 ,1364.7 ,9984.880264,6.642857143,0.889430223,0.658876961,22.46333609,12.98992568,24.20900083,10.00999174,1.733691164,75.40850912,5.899102884,10.76074412,0.998778235,2.654191,48.07194,3
12.8 ,1227.4 ,3085.915698,1.698619186,4.881177326,0.208793605,16.94723837,22.70428779,22.71715116,13.21017442,1.454287791,30.80174397,6.203959726,7.60768,0.999492,2.628705,51.64181,3
12.4 ,1204.1 ,4907.416237,3.43382732,4.995425258,0.464884021,17.65856959,18.77873711,28.10257732,12.23627577,1.789304124,29.62402489,6.475088502,7.523484615,0.999494359,2.791789,49.03029,3
11.7 ,1354.5 ,345.0524033,0.999367546,0.605529454,0.081604626,5.550126491,31.40860137,41.59011565,8.541633538,1.926328153,116.5955975,9.280227034,9.018848571,0.999942857,2.555017,51.2079,2
12.5 ,1379.5 ,10398.44444,5.886666667,1.291794872,0.632478632,19.74974359,1.842564103,48.82102564,7.936752137,0.813162393,111.1769431,11.40210218,8.883526667,0.998133667,2.218545,55.04377,3
11.3 ,1499.9 ,675.159523,0.978859169,1.374798582,0.090847567,6.406509829,16.33780213,54.68897841,7.563841444,1.184788914,167.7928236,10.85594976,8.550870588,0.999775588,2.331022,54.19919,1
10.4 ,1634.1 ,121.6520451,0.739865558,0.018423151,0.058881167,2.54297596,10.88482397,71.75133873,6.436595648,2.154403555,245.4228042,15.75492034,5.948191176,0.999552941,1.947106,62.6239,1
11.4 ,1390.7 ,186.2337662,0.902268617,0.264688476,0.069505178,4.334407365,28.550337,43.9801085,8.249136939,3.266611869,113.9462567,8.828213559,8.380190909,0.999927576,2.511778,51.89401,2
10.4 ,1371.3 ,68.24486175,0.537246784,0.09370102,0.010808813,2.321942925,19.00660949,62.82626054,4.622623096,62.41360343,147.7863658,13.18718201,2.594101429,0.999263714,1.950986,65.12023,1
12.4 ,1310.1 ,5054.309133,2.93559719,1.818735363,0.682435597,20.35222482,20.85784543,22.42505855,15.48126464,1.574473068,46.28979833,6.346019958,11.04658485,0.999123939,2.574018,47.98901,3
11.4 ,1442.5 ,1651.814339,1.515945215,0.603432533,0.289482584,8.247717281,16.07145756,50.60221508,6.384866419,1.842221846,151.0164126,10.62607629,8.68198,0.999860857,2.499289,51.95939,1
12.4 ,1397.6 ,2961.055556,1.888148148,0.165740741,0.262222222,12.74925926,12.0287037,54.59722222,7.436296296,2.032962963,138.6590088,11.0905341,7.91195,0.999128438,2.153859,57.31264,1
11.7 ,1544.5 ,5334.478528,3.664907975,0.214110429,0.368220859,12.70466258,7.324294479,56.69214724,6.891411043,0.656932515,133.6426189,10.90435973,8.489379412,0.999216176,2.270144,54.86846,1
11.6 ,1363.8 ,456.9224101,1.333268314,0.619722583,0.104356307,6.291915908,40.88556567,30.98805808,9.158409189,0.982271348,106.7738156,6.649871359,10.74647576,0.999960909,2.605022,48.96548,2
11.5 ,1377.5 ,625.0386445,1.358680143,0.7289239,0.072116528,5.31049346,25.16640904,44.30964625,8.122488109,5.412068966,68.79883705,8.658090619,4.336475,0.999918889,2.521166,54.6226,2
12.5 ,1215.5 ,1018.816852,1.803318053,1.444029688,0.132525649,9.92292076,47.57432875,11.67782144,10.3731718,5.402357564,21.30502913,4.084463474,8.659933333,0.999879744,2.597146,52.13671,2
9.8 ,1557.9 ,203.1502541,0.624667312,0.702588918,0.068666828,3.426857005,13.68809581,66.74547544,6.435228647,1.160101621,258.3732315,14.42096098,6.425675758,0.999692121,2.144991,58.32101,1
12.4 ,1451.3 ,1619.83871,1.327419355,0.859784946,0.152150538,10.31741935,9.649784946,49.49569892,8.744946237,7.660322581,123.5733054,11.00509696,8.164248485,0.998856061,2.284955,55.61767,1
12.3 ,1226.5 ,824.9841499,1.14962536,2.170533141,0.136080692,9.460389049,36.00667147,25.86756484,11.70834294,2.192939481,38.4359303,6.553416852,8.8345225,0.99994975,2.694455,50.07274,2
